City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Yerbogachen,RU,2022-05-01 11:34:36,61.2767,108.0108,29.52,91,100,8.39
249,Sur,OM,2022-05-01 11:34:37,22.5667,59.5289,90.07,47,0,9.73
250,Nhamunda,BR,2022-05-01 11:34:38,-2.1861,-56.7131,77.14,92,75,2.68
251,Teguldet,RU,2022-05-01 11:34:39,57.3064,88.1667,43.16,57,100,8.32
252,Kununurra,AU,2022-05-01 11:34:40,-15.7667,128.7333,78.78,78,3,0.0
253,Eyl,SO,2022-05-01 11:34:41,7.9803,49.8164,90.27,57,91,16.62
254,Katobu,ID,2022-05-01 11:34:42,-4.9408,122.5276,76.57,89,83,5.08
255,Lagoa,PT,2022-05-01 11:34:43,39.05,-27.9833,60.69,80,4,0.85
256,Bodden Town,KY,2022-05-01 11:34:46,19.2833,-81.25,79.93,81,40,8.05
257,Atuona,PF,2022-05-01 11:34:47,-9.8,-139.0333,78.76,74,12,14.52
258,Antofagasta,CL,2022-05-01 11:32:27,-23.65,-70.4,60.08,81,59,2.19
259,Jalu,LY,2022-05-01 11:34:49,29.0331,21.5482,99.99,7,97,21.63
260,Batemans Bay,AU,2022-05-01 11:34:51,-35.7167,150.1833,59.09,86,27,3.69
261,Kuito,AO,2022-05-01 11:34:52,-12.3833,16.9333,77.14,65,0,10.36
262,Avarua,CK,2022-05-01 11:34:53,-21.2078,-159.775,73.45,100,99,2.3
263,Acapulco,MX,2022-05-01 11:34:55,16.8634,-99.8901,71.42,88,75,3.44
264,Tandlianwala,PK,2022-05-01 11:34:57,31.0333,73.1333,112.48,7,0,7.14
265,Ostrovnoy,RU,2022-05-01 11:34:58,68.0531,39.5131,30.07,80,78,16.15
266,Cherskiy,RU,2022-05-01 11:34:59,68.75,161.3,11.61,92,51,6.89
267,Faanui,PF,2022-05-01 11:35:00,-16.4833,-151.75,80.74,73,45,11.27
268,Berlevag,NO,2022-05-01 11:35:01,70.8578,29.0864,28.2,59,100,6.29
269,Zhob,PK,2022-05-01 11:35:02,31.3411,69.4481,94.96,5,20,14.23
270,Chokurdakh,RU,2022-05-01 11:30:34,70.6333,147.9167,25.23,93,51,9.04
271,Samoded,RU,2022-05-01 11:35:03,63.6083,40.5111,37.87,59,100,7.87
272,Jatiroto,ID,2022-05-01 11:35:04,-7.8833,111.1167,76.35,90,87,2.57
273,Lyss,CH,2022-05-01 11:35:05,47.0741,7.3066,63.32,60,20,11.5
274,Kudahuvadhoo,MV,2022-05-01 11:35:06,2.6708,72.8944,85.95,74,86,18.68
275,Alofi,NU,2022-05-01 11:35:07,-19.0595,-169.9187,76.89,94,100,3.44
276,North Myrtle Beach,US,2022-05-01 11:35:08,33.816,-78.68,68.02,98,0,0.0
277,Eenhana,NA,2022-05-01 11:35:09,-17.4667,16.3333,85.75,24,20,7.09
278,Tukrah,LY,2022-05-01 11:35:10,32.5341,20.5791,84.38,28,100,15.73
279,Irbit,RU,2022-05-01 11:36:11,57.6705,63.071,51.04,48,100,8.79
280,Vao,NC,2022-05-01 11:36:12,-22.6667,167.4833,75.61,83,66,22.68
281,Petropavlovsk-Kamchatskiy,RU,2022-05-01 11:36:13,53.0452,158.6483,37.99,60,75,2.24
282,Bloomsburg,US,2022-05-01 11:36:14,41.0037,-76.4549,51.08,64,94,3.33
283,Khromtau,KZ,2022-05-01 11:36:17,50.2503,58.4347,56.55,58,97,9.44
284,Chuy,UY,2022-05-01 11:36:18,-33.6971,-53.4616,55.54,82,36,6.69
285,Kilindoni,TZ,2022-05-01 11:36:19,-7.9139,39.6668,81.55,73,65,19.04
286,Yulara,AU,2022-05-01 11:36:20,-25.2406,130.9889,66.04,52,100,4.61
287,Jutai,BR,2022-05-01 11:36:21,-5.1833,-68.9,74.39,96,99,1.43
288,Ashqelon,IL,2022-05-01 11:36:22,31.6693,34.5715,77.79,70,4,12.66
289,Denpasar,ID,2022-05-01 11:31:31,-8.65,115.2167,83.86,83,20,10.36
290,Makushino,RU,2022-05-01 11:36:24,55.2103,67.2442,37.62,95,100,6.64
291,Iqaluit,CA,2022-05-01 11:36:25,63.7506,-68.5145,17.33,78,100,2.3
292,Marquette,US,2022-05-01 11:36:26,46.5333,-87.6335,41.34,92,100,10.74
