City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Teya,RU,60.3778,92.6267,32.56,98,100,5.64,Snow
318,Zomin,UZ,39.9606,68.3958,73.42,55,100,6.02,Overcast Clouds
319,Lodi,US,38.1302,-121.2725,54.97,77,69,3,Broken Clouds
320,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,68,75,6.33,Broken Clouds
321,Port Augusta,AU,-32.5,137.7667,61.63,45,0,5.48,Clear Sky
322,Puyo,EC,-1.4667,-77.9833,76.53,59,100,1.48,Overcast Clouds
323,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,17,6.67,Few Clouds
324,Lagoa,PT,39.05,-27.9833,61.05,80,9,4.52,Clear Sky
325,Labuhan,ID,-6.8844,112.2051,81.18,82,100,8.79,Overcast Clouds
326,Edd,ER,13.9297,41.6925,92.95,48,6,10.6,Clear Sky
327,Zapolyarnyy,RU,69.4154,30.8136,33.08,90,100,23.22,Light Snow
328,Tecoanapa,MX,16.5167,-98.75,82.08,52,88,3.53,Overcast Clouds
329,Bonthe,SL,7.5264,-12.505,85.86,67,98,7.23,Light Rain
